date,year,month,month_num,country,visitors
2004-10-01,2004.0,Oct,10,Finland,550.0
2004-10-01,2004.0,Oct,10,France,749.0
2004-10-01,2004.0,Oct,10,Germany,1132.0
2004-10-01,2004.0,Oct,10,Italy,209.0
2004-10-01,2004.0,Oct,10,Japan,237.0
2004-10-01,2004.0,Oct,10,Netherlands,530.0
2004-10-01,2004.0,Oct,10,Norway,2981.0
2004-10-01,2004.0,Oct,10,Other,3082.0
2004-10-01,2004.0,Oct,10,Spain,141.0
2004-10-01,2004.0,Oct,10,Sweden,2636.0
2004-10-01,2004.0,Oct,10,Switzerland,148.0
2004-10-01,2004.0,Oct,10,UK,6356.0
2004-10-01,2004.0,Oct,10,USA,3605.0
2004-11-01,2004.0,Nov,11,Canada,305.0
2004-11-01,2004.0,Nov,11,Denmark,1582.0
2004-11-01,2004.0,Nov,11,Finland,383.0
2004-11-01,2004.0,Nov,11,France,575.0
2004-11-01,2004.0,Nov,11,Germany,890.0
2004-11-01,2004.0,Nov,11,Italy,165.0
2004-11-01,2004.0,Nov,11,Japan,227.0
2004-11-01,2004.0,Nov,11,Netherlands,377.0
2004-11-01,2004.0,Nov,11,Norway,1372.0
2004-11-01,2004.0,Nov,11,Other,2207.0
2004-11-01,2004.0,Nov,11,Spain,66.0
2004-11-01,2004.0,Nov,11,Sweden,1720.0
2004-11-01,2004.0,Nov,11,Switzerland,59.0
2004-11-01,2004.0,Nov,11,UK,3507.0
2004-11-01,2004.0,Nov,11,USA,2525.0
2004-12-01,2004.0,Dec,12,Canada,222.0
2004-12-01,2004.0,Dec,12,Denmark,1208.0
2004-12-01,2004.0,Dec,12,Finland,214.0
2004-12-01,2004.0,Dec,12,France,544.0
2004-12-01,2004.0,Dec,12,Germany,707.0
2004-12-01,2004.0,Dec,12,Italy,258.0
2004-12-01,2004.0,Dec,12,Japan,480.0
2004-12-01,2004.0,Dec,12,Netherlands,271.0
2004-12-01,2004.0,Dec,12,Norway,745.0
2004-12-01,2004.0,Dec,12,Other,2203.0
2004-12-01,2004.0,Dec,12,Spain,85.0
2004-12-01,2004.0,Dec,12,Sweden,696.0
2004-12-01,2004.0,Dec,12,Switzerland,91.0
2004-12-01,2004.0,Dec,12,UK,2185.0
2004-12-01,2004.0,Dec,12,USA,1828.0
2005-01-01,2005.0,Jan,1,Canada,130.0
2005-01-01,2005.0,Jan,1,Denmark,1255.0
2005-01-01,2005.0,Jan,1,Finland,153.0
2005-01-01,2005.0,Jan,1,France,577.0
2005-01-01,2005.0,Jan,1,Germany,986.0
